  Update - Policy Loss: -0.0169, Value Loss: 292.4216, Entropy: 1.3988, ClipFrac: 0.158
  Update - Policy Loss: -0.0122, Value Loss: 268.6087, Entropy: 1.4011, ClipFrac: 0.171
  Update - Policy Loss: -0.0141, Value Loss: 305.8625, Entropy: 1.4043, ClipFrac: 0.119
  Update - Policy Loss: -0.0158, Value Loss: 390.1080, Entropy: 1.3904, ClipFrac: 0.163
  Update - Policy Loss: -0.0144, Value Loss: 494.7177, Entropy: 1.2552, ClipFrac: 0.143
  Update - Policy Loss: -0.0151, Value Loss: 106.7128, Entropy: 1.5752, ClipFrac: 0.178
  Update - Policy Loss: -0.0233, Value Loss: 75.9382, Entropy: 1.5843, ClipFrac: 0.289
  Update - Policy Loss: -0.0125, Value Loss: 326.0303, Entropy: 1.5806, ClipFrac: 0.173
  Update - Policy Loss: -0.0141, Value Loss: 346.3444, Entropy: 1.6728, ClipFrac: 0.207
  Update - Policy Loss: -0.0145, Value Loss: 264.0723, Entropy: 1.6618, ClipFrac: 0.222
  Update - Policy Loss: -0.0198, Value Loss: 203.6233, Entropy: 1.4788, ClipFrac: 0.230
  Update - Policy Loss: -0.0162, Value Loss: 286.8761, Entropy: 1.4733, ClipFrac: 0.138
  Update - Policy Loss: -0.0151, Value Loss: 196.2373, Entropy: 1.6150, ClipFrac: 0.203
  Update - Policy Loss: -0.0171, Value Loss: 38.3496, Entropy: 1.7545, ClipFrac: 0.282
  Update - Policy Loss: -0.0191, Value Loss: 39.4557, Entropy: 1.6773, ClipFrac: 0.206
  Update - Policy Loss: -0.0180, Value Loss: 67.4556, Entropy: 1.7156, ClipFrac: 0.261
  Update - Policy Loss: -0.0154, Value Loss: 65.0567, Entropy: 1.7499, ClipFrac: 0.214
  Update - Policy Loss: -0.0173, Value Loss: 139.6664, Entropy: 1.7026, ClipFrac: 0.241
  Update - Policy Loss: -0.0127, Value Loss: 226.9114, Entropy: 1.6632, ClipFrac: 0.204
  Update - Policy Loss: -0.0175, Value Loss: 188.6653, Entropy: 1.5565, ClipFrac: 0.205
  Update - Policy Loss: -0.0160, Value Loss: 148.2963, Entropy: 1.6989, ClipFrac: 0.211
  Update - Policy Loss: -0.0191, Value Loss: 80.3324, Entropy: 1.7549, ClipFrac: 0.208
  Update - Policy Loss: -0.0193, Value Loss: 245.3885, Entropy: 1.5765, ClipFrac: 0.210
  Update - Policy Loss: -0.0178, Value Loss: 87.4237, Entropy: 1.7014, ClipFrac: 0.233
  Update - Policy Loss: -0.0159, Value Loss: 62.3986, Entropy: 1.5874, ClipFrac: 0.284
  Update - Policy Loss: -0.0165, Value Loss: 101.2200, Entropy: 1.6199, ClipFrac: 0.174
  Update - Policy Loss: -0.0137, Value Loss: 37.2043, Entropy: 1.6909, ClipFrac: 0.269
  Update - Policy Loss: -0.0193, Value Loss: 71.4540, Entropy: 1.7908, ClipFrac: 0.256
  Update - Policy Loss: -0.0209, Value Loss: 45.8870, Entropy: 1.6925, ClipFrac: 0.271
  Update - Policy Loss: -0.0163, Value Loss: 87.5683, Entropy: 1.7745, ClipFrac: 0.264
  Update - Policy Loss: -0.0163, Value Loss: 277.3358, Entropy: 1.6613, ClipFrac: 0.202
  Update - Policy Loss: -0.0162, Value Loss: 214.6694, Entropy: 1.4373, ClipFrac: 0.157
  Update - Policy Loss: -0.0172, Value Loss: 163.6894, Entropy: 1.7064, ClipFrac: 0.180
  Update - Policy Loss: -0.0150, Value Loss: 54.7773, Entropy: 1.5340, ClipFrac: 0.204
  Update - Policy Loss: -0.0210, Value Loss: 91.6215, Entropy: 1.7070, ClipFrac: 0.174
  Update - Policy Loss: -0.0175, Value Loss: 78.2689, Entropy: 1.3556, ClipFrac: 0.142
  Update - Policy Loss: -0.0184, Value Loss: 36.3815, Entropy: 1.7512, ClipFrac: 0.263
  Update - Policy Loss: -0.0252, Value Loss: 30.8573, Entropy: 1.6646, ClipFrac: 0.218
  Update - Policy Loss: -0.0180, Value Loss: 116.3579, Entropy: 1.5717, ClipFrac: 0.202
  Update - Policy Loss: -0.0281, Value Loss: 93.0313, Entropy: 1.5654, ClipFrac: 0.251
  Update - Policy Loss: -0.0098, Value Loss: 62.6347, Entropy: 1.5151, ClipFrac: 0.217
  Update - Policy Loss: -0.0175, Value Loss: 24.4887, Entropy: 1.5430, ClipFrac: 0.209
  Update - Policy Loss: -0.0175, Value Loss: 147.9011, Entropy: 1.4874, ClipFrac: 0.229
  Update - Policy Loss: -0.0133, Value Loss: 161.2866, Entropy: 1.6638, ClipFrac: 0.234
  Update - Policy Loss: -0.0148, Value Loss: 366.4405, Entropy: 1.3490, ClipFrac: 0.195
  Update - Policy Loss: -0.0149, Value Loss: 508.5006, Entropy: 1.2580, ClipFrac: 0.162
  Update - Policy Loss: -0.0152, Value Loss: 240.9364, Entropy: 1.3595, ClipFrac: 0.176
  Update - Policy Loss: -0.0169, Value Loss: 79.1212, Entropy: 1.5868, ClipFrac: 0.185
  Update - Policy Loss: -0.0185, Value Loss: 155.0861, Entropy: 1.5403, ClipFrac: 0.172
  Update - Policy Loss: -0.0126, Value Loss: 284.9605, Entropy: 1.4822, ClipFrac: 0.128
  Update - Policy Loss: -0.0159, Value Loss: 180.7447, Entropy: 1.5489, ClipFrac: 0.168
  Update - Policy Loss: -0.0195, Value Loss: 290.5634, Entropy: 1.3844, ClipFrac: 0.209
  Update - Policy Loss: -0.0170, Value Loss: 68.6714, Entropy: 1.6590, ClipFrac: 0.215
  Update - Policy Loss: -0.0184, Value Loss: 64.4818, Entropy: 1.6533, ClipFrac: 0.247
  Update - Policy Loss: -0.0194, Value Loss: 96.4127, Entropy: 1.7204, ClipFrac: 0.215
  Update - Policy Loss: -0.0167, Value Loss: 163.9501, Entropy: 1.6537, ClipFrac: 0.166
  Update - Policy Loss: -0.0190, Value Loss: 66.3381, Entropy: 1.7131, ClipFrac: 0.219
  Update - Policy Loss: -0.0190, Value Loss: 65.0274, Entropy: 1.6418, ClipFrac: 0.218
  Update - Policy Loss: -0.0149, Value Loss: 78.0753, Entropy: 1.7254, ClipFrac: 0.283
  Update - Policy Loss: -0.0239, Value Loss: 134.5848, Entropy: 1.6469, ClipFrac: 0.215
  Update - Policy Loss: -0.0195, Value Loss: 115.7342, Entropy: 1.6001, ClipFrac: 0.214
  Update - Policy Loss: -0.0175, Value Loss: 86.6323, Entropy: 1.6949, ClipFrac: 0.231
  Update - Policy Loss: -0.0166, Value Loss: 90.1448, Entropy: 1.5546, ClipFrac: 0.215
  Update - Policy Loss: -0.0206, Value Loss: 96.5241, Entropy: 1.5795, ClipFrac: 0.207
  Update - Policy Loss: -0.0184, Value Loss: 198.1400, Entropy: 1.6097, ClipFrac: 0.152
  Update - Policy Loss: -0.0205, Value Loss: 92.6788, Entropy: 1.6659, ClipFrac: 0.263
  Update - Policy Loss: -0.0175, Value Loss: 381.8716, Entropy: 1.5856, ClipFrac: 0.194
  Update - Policy Loss: -0.0157, Value Loss: 127.3277, Entropy: 1.6620, ClipFrac: 0.228
  Update - Policy Loss: -0.0172, Value Loss: 178.9949, Entropy: 1.5866, ClipFrac: 0.218
  Update - Policy Loss: -0.0157, Value Loss: 101.0201, Entropy: 1.4996, ClipFrac: 0.310
  Update - Policy Loss: -0.0155, Value Loss: 170.7630, Entropy: 1.6287, ClipFrac: 0.272
  Update - Policy Loss: -0.0174, Value Loss: 208.6032, Entropy: 1.6197, ClipFrac: 0.196
  Update - Policy Loss: -0.0207, Value Loss: 116.3074, Entropy: 1.6429, ClipFrac: 0.192
  Update - Policy Loss: -0.0166, Value Loss: 82.4172, Entropy: 1.7290, ClipFrac: 0.230
  Update - Policy Loss: -0.0095, Value Loss: 196.6145, Entropy: 1.6472, ClipFrac: 0.212
  Update - Policy Loss: -0.0171, Value Loss: 119.4176, Entropy: 1.8085, ClipFrac: 0.237
  Update - Policy Loss: -0.0211, Value Loss: 88.3958, Entropy: 1.8153, ClipFrac: 0.225
  Update - Policy Loss: -0.0237, Value Loss: 241.7759, Entropy: 1.5280, ClipFrac: 0.261
  Update - Policy Loss: -0.0185, Value Loss: 245.1697, Entropy: 1.6179, ClipFrac: 0.223
  Update - Policy Loss: -0.0215, Value Loss: 106.8769, Entropy: 1.5954, ClipFrac: 0.239
  Update - Policy Loss: -0.0161, Value Loss: 50.2464, Entropy: 1.6650, ClipFrac: 0.278
  Update - Policy Loss: -0.0149, Value Loss: 381.2969, Entropy: 1.5712, ClipFrac: 0.256
  Update - Policy Loss: -0.0154, Value Loss: 220.1213, Entropy: 1.5158, ClipFrac: 0.177
  Update - Policy Loss: -0.0225, Value Loss: 56.5232, Entropy: 1.6536, ClipFrac: 0.303
  Update - Policy Loss: -0.0138, Value Loss: 70.8203, Entropy: 1.6126, ClipFrac: 0.282
  Update - Policy Loss: -0.0172, Value Loss: 153.6039, Entropy: 1.5412, ClipFrac: 0.255
  Update - Policy Loss: -0.0220, Value Loss: 288.1714, Entropy: 1.4923, ClipFrac: 0.195
  Update - Policy Loss: -0.0137, Value Loss: 214.2348, Entropy: 1.6715, ClipFrac: 0.212
  Update - Policy Loss: -0.0195, Value Loss: 181.0666, Entropy: 1.5557, ClipFrac: 0.215
  Update - Policy Loss: -0.0266, Value Loss: 133.3964, Entropy: 1.5014, ClipFrac: 0.246
  Update - Policy Loss: -0.0148, Value Loss: 192.5837, Entropy: 1.6426, ClipFrac: 0.229
  Update - Policy Loss: -0.0153, Value Loss: 194.5204, Entropy: 1.6287, ClipFrac: 0.230
  Update - Policy Loss: -0.0172, Value Loss: 123.3102, Entropy: 1.7021, ClipFrac: 0.284
  Update - Policy Loss: -0.0175, Value Loss: 116.8558, Entropy: 1.6243, ClipFrac: 0.226
  Update - Policy Loss: -0.0163, Value Loss: 126.2669, Entropy: 1.6194, ClipFrac: 0.277
  Update - Policy Loss: -0.0242, Value Loss: 180.0300, Entropy: 1.4849, ClipFrac: 0.279
  Update - Policy Loss: -0.0207, Value Loss: 117.7285, Entropy: 1.5834, ClipFrac: 0.227
  Update - Policy Loss: -0.0186, Value Loss: 26.4956, Entropy: 1.6735, ClipFrac: 0.246
  Update - Policy Loss: -0.0237, Value Loss: 34.2593, Entropy: 1.7120, ClipFrac: 0.269
  Update - Policy Loss: -0.0177, Value Loss: 231.5374, Entropy: 1.5967, ClipFrac: 0.295
  Update - Policy Loss: -0.0138, Value Loss: 31.1530, Entropy: 1.6755, ClipFrac: 0.210
  Update - Policy Loss: -0.0229, Value Loss: 103.3058, Entropy: 1.6060, ClipFrac: 0.241
  Update - Policy Loss: -0.0171, Value Loss: 112.8490, Entropy: 1.5966, ClipFrac: 0.303
  Update - Policy Loss: -0.0243, Value Loss: 80.8367, Entropy: 1.6457, ClipFrac: 0.281
  Update - Policy Loss: -0.0184, Value Loss: 177.1677, Entropy: 1.5934, ClipFrac: 0.241
  Update - Policy Loss: -0.0158, Value Loss: 286.1656, Entropy: 1.5274, ClipFrac: 0.208
  Update - Policy Loss: -0.0250, Value Loss: 72.3049, Entropy: 1.6114, ClipFrac: 0.229
  Update - Policy Loss: -0.0236, Value Loss: 94.2403, Entropy: 1.5141, ClipFrac: 0.213
  Update - Policy Loss: -0.0207, Value Loss: 88.9598, Entropy: 1.6274, ClipFrac: 0.226
  Update - Policy Loss: -0.0231, Value Loss: 180.5471, Entropy: 1.5620, ClipFrac: 0.203
  Update - Policy Loss: -0.0143, Value Loss: 106.3643, Entropy: 1.6442, ClipFrac: 0.206
  Update - Policy Loss: -0.0235, Value Loss: 107.8347, Entropy: 1.6481, ClipFrac: 0.285
  Update - Policy Loss: -0.0222, Value Loss: 102.0739, Entropy: 1.6040, ClipFrac: 0.227
  Update - Policy Loss: -0.0256, Value Loss: 69.4355, Entropy: 1.5342, ClipFrac: 0.271
  Update - Policy Loss: -0.0187, Value Loss: 137.5114, Entropy: 1.6078, ClipFrac: 0.239
  Update - Policy Loss: -0.0149, Value Loss: 114.9766, Entropy: 1.5942, ClipFrac: 0.219
  Update - Policy Loss: -0.0200, Value Loss: 89.0899, Entropy: 1.5390, ClipFrac: 0.249
  Update - Policy Loss: -0.0209, Value Loss: 205.9163, Entropy: 1.4501, ClipFrac: 0.192
  Update - Policy Loss: -0.0222, Value Loss: 96.6984, Entropy: 1.4826, ClipFrac: 0.263
  Update - Policy Loss: -0.0239, Value Loss: 149.1565, Entropy: 1.5594, ClipFrac: 0.229
  Update - Policy Loss: -0.0201, Value Loss: 193.7372, Entropy: 1.5098, ClipFrac: 0.202
  Update - Policy Loss: -0.0244, Value Loss: 51.4166, Entropy: 1.5902, ClipFrac: 0.245
  Update - Policy Loss: -0.0269, Value Loss: 111.5571, Entropy: 1.4734, ClipFrac: 0.237
  Update - Policy Loss: -0.0292, Value Loss: 268.8423, Entropy: 1.3781, ClipFrac: 0.245
  Update - Policy Loss: -0.0192, Value Loss: 361.4999, Entropy: 1.2755, ClipFrac: 0.219
  Update - Policy Loss: -0.0169, Value Loss: 327.6495, Entropy: 1.3327, ClipFrac: 0.181
  Update - Policy Loss: -0.0224, Value Loss: 207.5601, Entropy: 1.2506, ClipFrac: 0.190
  Update - Policy Loss: -0.0179, Value Loss: 121.9892, Entropy: 1.4315, ClipFrac: 0.280
  Update - Policy Loss: -0.0162, Value Loss: 181.1749, Entropy: 1.3084, ClipFrac: 0.222
  Update - Policy Loss: -0.0252, Value Loss: 117.4225, Entropy: 1.3868, ClipFrac: 0.257
  Update - Policy Loss: -0.0268, Value Loss: 99.9571, Entropy: 1.3664, ClipFrac: 0.325
  Update - Policy Loss: -0.0247, Value Loss: 78.4325, Entropy: 1.4043, ClipFrac: 0.317
  Update - Policy Loss: -0.0274, Value Loss: 248.6048, Entropy: 1.3996, ClipFrac: 0.320
  Update - Policy Loss: -0.0300, Value Loss: 255.4061, Entropy: 1.3761, ClipFrac: 0.250
  Update - Policy Loss: -0.0212, Value Loss: 375.4114, Entropy: 1.3933, ClipFrac: 0.254
  Update - Policy Loss: -0.0207, Value Loss: 191.5591, Entropy: 1.3709, ClipFrac: 0.222
  Update - Policy Loss: -0.0185, Value Loss: 219.4344, Entropy: 1.3794, ClipFrac: 0.240
  Update - Policy Loss: -0.0157, Value Loss: 215.2913, Entropy: 1.3776, ClipFrac: 0.284
  Update - Policy Loss: -0.0051, Value Loss: 255.4955, Entropy: 1.5012, ClipFrac: 0.208
  Update - Policy Loss: -0.0205, Value Loss: 220.6695, Entropy: 1.3625, ClipFrac: 0.251
  Update - Policy Loss: -0.0191, Value Loss: 300.6491, Entropy: 1.3576, ClipFrac: 0.246
  Update - Policy Loss: -0.0214, Value Loss: 361.2278, Entropy: 1.2942, ClipFrac: 0.251
  Update - Policy Loss: -0.0205, Value Loss: 267.3311, Entropy: 1.4209, ClipFrac: 0.253
  Update - Policy Loss: -0.0194, Value Loss: 142.5137, Entropy: 1.3748, ClipFrac: 0.246
  Update - Policy Loss: -0.0231, Value Loss: 249.1831, Entropy: 1.3373, ClipFrac: 0.259
  Update - Policy Loss: -0.0006, Value Loss: 384.5868, Entropy: 1.5813, ClipFrac: 0.221
  Update - Policy Loss: -0.0179, Value Loss: 77.4367, Entropy: 1.3864, ClipFrac: 0.274
  Update - Policy Loss: -0.0206, Value Loss: 75.9456, Entropy: 1.5440, ClipFrac: 0.298
  Update - Policy Loss: -0.0181, Value Loss: 111.5552, Entropy: 1.5784, ClipFrac: 0.280
  Update - Policy Loss: -0.0241, Value Loss: 118.6051, Entropy: 1.4917, ClipFrac: 0.283
  Update - Policy Loss: -0.0176, Value Loss: 91.2017, Entropy: 1.4600, ClipFrac: 0.240
  Update - Policy Loss: -0.0205, Value Loss: 88.0186, Entropy: 1.4698, ClipFrac: 0.284
  Update - Policy Loss: -0.0269, Value Loss: 169.6506, Entropy: 1.5053, ClipFrac: 0.296
  Update - Policy Loss: -0.0182, Value Loss: 52.7645, Entropy: 1.6046, ClipFrac: 0.315
  Update - Policy Loss: -0.0205, Value Loss: 120.8020, Entropy: 1.5076, ClipFrac: 0.237
  Update - Policy Loss: -0.0207, Value Loss: 131.6554, Entropy: 1.3574, ClipFrac: 0.230
  Update - Policy Loss: -0.0235, Value Loss: 93.3347, Entropy: 1.4353, ClipFrac: 0.269
  Update - Policy Loss: -0.0231, Value Loss: 54.7100, Entropy: 1.6394, ClipFrac: 0.273
  Update - Policy Loss: -0.0164, Value Loss: 155.7486, Entropy: 1.5204, ClipFrac: 0.225
  Update - Policy Loss: -0.0215, Value Loss: 84.8527, Entropy: 1.6185, ClipFrac: 0.272
  Update - Policy Loss: -0.0161, Value Loss: 53.6753, Entropy: 1.7429, ClipFrac: 0.307
  Update - Policy Loss: -0.0140, Value Loss: 73.6694, Entropy: 1.7027, ClipFrac: 0.268
  Update - Policy Loss: -0.0222, Value Loss: 62.7141, Entropy: 1.6732, ClipFrac: 0.246
  Update - Policy Loss: -0.0133, Value Loss: 62.7620, Entropy: 1.5239, ClipFrac: 0.215
  Update - Policy Loss: -0.0190, Value Loss: 52.4339, Entropy: 1.6362, ClipFrac: 0.248
  Update - Policy Loss: -0.0149, Value Loss: 41.1779, Entropy: 1.6396, ClipFrac: 0.250
  Update - Policy Loss: -0.0177, Value Loss: 57.0656, Entropy: 1.5961, ClipFrac: 0.260
  Update - Policy Loss: -0.0130, Value Loss: 108.5561, Entropy: 1.5669, ClipFrac: 0.229
  Update - Policy Loss: -0.0159, Value Loss: 47.4335, Entropy: 1.5014, ClipFrac: 0.268
  Update - Policy Loss: -0.0231, Value Loss: 116.8584, Entropy: 1.5438, ClipFrac: 0.226
  Update - Policy Loss: -0.0151, Value Loss: 49.0945, Entropy: 1.3284, ClipFrac: 0.234
  Update - Policy Loss: -0.0151, Value Loss: 58.9591, Entropy: 1.5045, ClipFrac: 0.189
  Update - Policy Loss: -0.0170, Value Loss: 282.4164, Entropy: 1.4198, ClipFrac: 0.221
  Update - Policy Loss: -0.0238, Value Loss: 81.8028, Entropy: 1.5474, ClipFrac: 0.267
  Update - Policy Loss: -0.0185, Value Loss: 294.7196, Entropy: 1.2696, ClipFrac: 0.251
  Update - Policy Loss: -0.0179, Value Loss: 150.6917, Entropy: 1.3726, ClipFrac: 0.233
  Update - Policy Loss: -0.0173, Value Loss: 189.7138, Entropy: 1.4132, ClipFrac: 0.218
  Update - Policy Loss: -0.0180, Value Loss: 204.1514, Entropy: 1.3211, ClipFrac: 0.257
  Update - Policy Loss: -0.0166, Value Loss: 347.5459, Entropy: 1.1616, ClipFrac: 0.225
  Update - Policy Loss: -0.0191, Value Loss: 200.7964, Entropy: 1.3172, ClipFrac: 0.192
  Update - Policy Loss: -0.0191, Value Loss: 206.6233, Entropy: 1.4064, ClipFrac: 0.255
  Update - Policy Loss: -0.0182, Value Loss: 91.6879, Entropy: 1.4668, ClipFrac: 0.256
  Update - Policy Loss: -0.0223, Value Loss: 131.3224, Entropy: 1.3470, ClipFrac: 0.310
  Update - Policy Loss: -0.0192, Value Loss: 133.1770, Entropy: 1.0973, ClipFrac: 0.212
  Update - Policy Loss: -0.0163, Value Loss: 152.6236, Entropy: 1.3561, ClipFrac: 0.259
  Update - Policy Loss: -0.0189, Value Loss: 276.0374, Entropy: 1.2601, ClipFrac: 0.234
  Update - Policy Loss: -0.0192, Value Loss: 296.5299, Entropy: 1.2376, ClipFrac: 0.237
  Update - Policy Loss: -0.0227, Value Loss: 155.2989, Entropy: 1.4154, ClipFrac: 0.283
  Update - Policy Loss: -0.0209, Value Loss: 227.5501, Entropy: 1.3688, ClipFrac: 0.267
  Update - Policy Loss: -0.0169, Value Loss: 223.1564, Entropy: 1.4199, ClipFrac: 0.222
  Update - Policy Loss: -0.0241, Value Loss: 200.7712, Entropy: 1.3774, ClipFrac: 0.273
  Update - Policy Loss: -0.0160, Value Loss: 108.5526, Entropy: 1.4770, ClipFrac: 0.236
  Update - Policy Loss: -0.0174, Value Loss: 145.5036, Entropy: 1.4800, ClipFrac: 0.280
  Update - Policy Loss: -0.0220, Value Loss: 120.5590, Entropy: 1.4824, ClipFrac: 0.290
  Update - Policy Loss: -0.0183, Value Loss: 151.4558, Entropy: 1.5373, ClipFrac: 0.270
  Update - Policy Loss: -0.0197, Value Loss: 89.8179, Entropy: 1.5311, ClipFrac: 0.322
  Update - Policy Loss: -0.0254, Value Loss: 122.5806, Entropy: 1.4917, ClipFrac: 0.252
  Update - Policy Loss: -0.0218, Value Loss: 67.5053, Entropy: 1.5397, ClipFrac: 0.244
  Update - Policy Loss: -0.0230, Value Loss: 161.5282, Entropy: 1.4459, ClipFrac: 0.261
  Update - Policy Loss: -0.0204, Value Loss: 131.0924, Entropy: 1.3676, ClipFrac: 0.247
  Update - Policy Loss: -0.0209, Value Loss: 324.6568, Entropy: 1.1981, ClipFrac: 0.245
  Update - Policy Loss: -0.0245, Value Loss: 183.6601, Entropy: 1.3612, ClipFrac: 0.264
  Update - Policy Loss: -0.0194, Value Loss: 113.9417, Entropy: 1.4149, ClipFrac: 0.243
  Update - Policy Loss: -0.0288, Value Loss: 74.9324, Entropy: 1.4068, ClipFrac: 0.244
  Update - Policy Loss: -0.0234, Value Loss: 216.4942, Entropy: 1.2532, ClipFrac: 0.231
  Update - Policy Loss: -0.0256, Value Loss: 195.1882, Entropy: 1.1652, ClipFrac: 0.273
  Update - Policy Loss: -0.0199, Value Loss: 185.2921, Entropy: 1.3657, ClipFrac: 0.239
  Update - Policy Loss: -0.0218, Value Loss: 120.7612, Entropy: 1.4574, ClipFrac: 0.238
