Episode 287; Average Reward: 257.82
Episode 288; Average Reward: 259.07
Episode 289; Average Reward: 258.43
Episode 290; Average Reward: 258.10
Episode 291; Average Reward: 260.97
Episode 292; Average Reward: 259.97
Episode 293; Average Reward: 261.16
Episode 294; Average Reward: 260.56
Episode 295; Average Reward: 260.62
Episode 296; Average Reward: 256.91
Episode 297; Average Reward: 257.37
Episode 298; Average Reward: 258.76
Episode 299; Average Reward: 259.04
Episode 300; Average Reward: 256.28
Episode 301; Average Reward: 257.30
Episode 302; Average Reward: 257.21
Episode 303; Average Reward: 255.18
Episode 304; Average Reward: 255.09
Episode 305; Average Reward: 253.85
Episode 306; Average Reward: 257.40
Episode 307; Average Reward: 255.96
Episode 308; Average Reward: 256.01
Episode 309; Average Reward: 254.30
Episode 310; Average Reward: 252.91
Episode 311; Average Reward: 253.18
Episode 312; Average Reward: 255.35
Episode 313; Average Reward: 252.00
Episode 314; Average Reward: 253.42
Episode 315; Average Reward: 253.52
Episode 316; Average Reward: 251.41
Episode 317; Average Reward: 251.44
Episode 318; Average Reward: 253.99
Episode 319; Average Reward: 253.99
Episode 320; Average Reward: 256.81
Episode 321; Average Reward: 256.90
Episode 322; Average Reward: 259.73
Episode 323; Average Reward: 256.48
Episode 324; Average Reward: 257.88
Episode 325; Average Reward: 257.89
Episode 326; Average Reward: 256.48
Episode 327; Average Reward: 259.20
Episode 328; Average Reward: 259.59
Episode 329; Average Reward: 260.15
Episode 330; Average Reward: 260.13
Episode 331; Average Reward: 261.41
Episode 332; Average Reward: 260.75
Episode 333; Average Reward: 261.71
Episode 334; Average Reward: 259.53
Episode 335; Average Reward: 260.77
Episode 336; Average Reward: 258.33
Episode 337; Average Reward: 259.13
Episode 338; Average Reward: 259.25
Episode 339; Average Reward: 259.15
Episode 340; Average Reward: 257.76
Episode 341; Average Reward: 257.84
Episode 342; Average Reward: 258.31
Episode 343; Average Reward: 259.63
Episode 344; Average Reward: 260.29
Episode 345; Average Reward: 261.60
Episode 346; Average Reward: 262.35
Episode 347; Average Reward: 261.57
Episode 348; Average Reward: 262.12
Episode 349; Average Reward: 258.97
Episode 350; Average Reward: 258.80
Episode 351; Average Reward: 258.58
Episode 352; Average Reward: 259.37
Episode 353; Average Reward: 259.88
Episode 354; Average Reward: 259.49
Episode 355; Average Reward: 255.95
Episode 356; Average Reward: 254.94
Episode 357; Average Reward: 253.76
Episode 358; Average Reward: 252.50
Episode 359; Average Reward: 251.51
Episode 360; Average Reward: 254.32
Episode 361; Average Reward: 255.67
Episode 362; Average Reward: 255.41
Episode 363; Average Reward: 256.60
Episode 364; Average Reward: 256.61
Episode 365; Average Reward: 256.51
Episode 366; Average Reward: 253.78
Episode 367; Average Reward: 252.85
Episode 368; Average Reward: 253.65
Episode 369; Average Reward: 250.84
Episode 370; Average Reward: 250.26
Episode 371; Average Reward: 250.49
Episode 372; Average Reward: 250.93
Episode 373; Average Reward: 249.64
Episode 374; Average Reward: 249.54
Episode 375; Average Reward: 245.87
Episode 376; Average Reward: 245.44
Episode 377; Average Reward: 245.96
Episode 378; Average Reward: 243.47
Episode 379; Average Reward: 241.17
Episode 380; Average Reward: 239.77
Episode 381; Average Reward: 242.76
Episode 382; Average Reward: 242.78
Episode 383; Average Reward: 241.42
Episode 384; Average Reward: 242.48
Episode 385; Average Reward: 243.66
Episode 386; Average Reward: 244.42
Episode 387; Average Reward: 245.16
Episode 388; Average Reward: 244.98
Episode 389; Average Reward: 243.41
Episode 390; Average Reward: 245.80
Episode 391; Average Reward: 244.68
Episode 392; Average Reward: 247.18
Episode 393; Average Reward: 247.41
Episode 394; Average Reward: 247.96
Episode 395; Average Reward: 249.56
Episode 396; Average Reward: 251.78
Episode 397; Average Reward: 250.07
Episode 398; Average Reward: 248.53
Episode 399; Average Reward: 247.94
Episode 400; Average Reward: 250.13
Episode 401; Average Reward: 245.20
Episode 402; Average Reward: 244.09
Episode 403; Average Reward: 242.55
Episode 404; Average Reward: 242.27
Episode 405; Average Reward: 243.32
Episode 406; Average Reward: 239.17
Episode 407; Average Reward: 238.67
Episode 408; Average Reward: 240.85
Episode 409; Average Reward: 238.11
Episode 410; Average Reward: 240.45
Episode 411; Average Reward: 241.36
Episode 412; Average Reward: 237.94
Episode 413; Average Reward: 240.71
Episode 414; Average Reward: 241.85
Episode 415; Average Reward: 242.38
Episode 416; Average Reward: 253.05
Episode 417; Average Reward: 254.51
Episode 418; Average Reward: 254.21
Episode 419; Average Reward: 256.12
Episode 420; Average Reward: 253.43
Episode 421; Average Reward: 255.20
Episode 422; Average Reward: 252.85
Episode 423; Average Reward: 255.36
Episode 424; Average Reward: 256.36
Episode 425; Average Reward: 254.62
Episode 426; Average Reward: 256.38
Episode 427; Average Reward: 255.63
Episode 428; Average Reward: 255.41
Episode 429; Average Reward: 253.33
Episode 430; Average Reward: 258.20
Episode 431; Average Reward: 261.59
Episode 432; Average Reward: 260.49
Episode 433; Average Reward: 257.08
Episode 434; Average Reward: 258.25
Episode 435; Average Reward: 255.97
Episode 436; Average Reward: 259.34
Episode 437; Average Reward: 255.76
Episode 438; Average Reward: 254.55
Episode 439; Average Reward: 254.36
Episode 440; Average Reward: 253.12
Episode 441; Average Reward: 254.97
Episode 442; Average Reward: 256.38
Episode 443; Average Reward: 255.76
Episode 444; Average Reward: 257.84
Episode 445; Average Reward: 261.27
Episode 446; Average Reward: 263.80
Episode 447; Average Reward: 263.88
Episode 448; Average Reward: 263.62
Episode 449; Average Reward: 264.74
Episode 450; Average Reward: 266.12
Episode 451; Average Reward: 264.20
Episode 452; Average Reward: 265.97
Episode 453; Average Reward: 263.85
Episode 454; Average Reward: 264.64
Episode 455; Average Reward: 268.37
Episode 456; Average Reward: 270.83
Episode 457; Average Reward: 273.09
Episode 458; Average Reward: 272.06
Episode 459; Average Reward: 271.70
Episode 460; Average Reward: 269.76
Episode 461; Average Reward: 268.92
Episode 462; Average Reward: 269.21
Episode 463; Average Reward: 266.97
Episode 464; Average Reward: 269.76
Episode 465; Average Reward: 271.24
Episode 466; Average Reward: 272.92
Episode 467; Average Reward: 271.77
Episode 468; Average Reward: 271.47
Episode 469; Average Reward: 273.14
Episode 470; Average Reward: 272.73
Episode 471; Average Reward: 272.24
Episode 472; Average Reward: 274.50
Episode 473; Average Reward: 274.04
Episode 474; Average Reward: 274.47
Episode 475; Average Reward: 274.36
Episode 476; Average Reward: 273.70
Episode 477; Average Reward: 273.12
Episode 478; Average Reward: 277.48
Episode 479; Average Reward: 278.64
Episode 480; Average Reward: 278.77
Episode 481; Average Reward: 278.36
Episode 482; Average Reward: 277.23
Episode 483; Average Reward: 279.28
Episode 484; Average Reward: 279.36
Episode 485; Average Reward: 282.32
Episode 486; Average Reward: 280.97
Episode 487; Average Reward: 281.41
Episode 488; Average Reward: 280.98
Episode 489; Average Reward: 283.16
Episode 490; Average Reward: 280.07
Episode 491; Average Reward: 282.46
Episode 492; Average Reward: 280.99
Episode 493; Average Reward: 280.57
Episode 494; Average Reward: 280.97
Episode 495; Average Reward: 280.66
Episode 496; Average Reward: 279.63
Episode 497; Average Reward: 279.47
Episode 498; Average Reward: 280.50
Episode 499; Average Reward: 280.78
Episode 500; Average Reward: 291.43
Episode 501; Average Reward: 293.05
Episode 502; Average Reward: 293.42
Episode 503; Average Reward: 294.90
Episode 504; Average Reward: 295.34
Episode 505; Average Reward: 293.25
Episode 506; Average Reward: 296.59
Episode 507; Average Reward: 297.64
Episode 508; Average Reward: 294.13
Episode 509; Average Reward: 294.47
Episode 510; Average Reward: 293.79
Episode 511; Average Reward: 293.11
Episode 512; Average Reward: 295.08
Episode 513; Average Reward: 295.88
Episode 514; Average Reward: 294.45
Episode 515; Average Reward: 295.09
Episode 516; Average Reward: 283.28
Episode 517; Average Reward: 285.94
Episode 518; Average Reward: 287.30
Episode 519; Average Reward: 285.66
Episode 520; Average Reward: 286.90
Episode 521; Average Reward: 286.58
Episode 522; Average Reward: 285.01
Episode 523; Average Reward: 284.69
Episode 524; Average Reward: 283.45
Episode 525; Average Reward: 283.28
Episode 526; Average Reward: 281.46
Episode 527; Average Reward: 280.77
Episode 528; Average Reward: 280.71
Episode 529; Average Reward: 281.88
Episode 530; Average Reward: 280.29
Episode 531; Average Reward: 277.82
Episode 532; Average Reward: 279.15
Episode 533; Average Reward: 279.14
Episode 534; Average Reward: 279.06
Episode 535; Average Reward: 282.32
Episode 536; Average Reward: 279.03
Episode 537; Average Reward: 277.89
Episode 538; Average Reward: 280.72
Episode 539; Average Reward: 279.22
Episode 540; Average Reward: 283.17
Episode 541; Average Reward: 285.03
Episode 542; Average Reward: 283.74
Episode 543; Average Reward: 284.07
Episode 544; Average Reward: 282.11
Episode 545; Average Reward: 279.75
Episode 546; Average Reward: 278.13
Episode 547; Average Reward: 278.06
Episode 548; Average Reward: 278.57
Episode 549; Average Reward: 282.63
Episode 550; Average Reward: 279.95
Episode 551; Average Reward: 279.50
Episode 552; Average Reward: 278.66
Episode 553; Average Reward: 282.83
Episode 554; Average Reward: 279.19
Episode 555; Average Reward: 276.58
Episode 556; Average Reward: 271.61
Episode 557; Average Reward: 270.96
Episode 558; Average Reward: 273.32
Episode 559; Average Reward: 271.98
Episode 560; Average Reward: 272.61
Episode 561; Average Reward: 273.35
Episode 562; Average Reward: 276.39
Episode 563; Average Reward: 276.33
Episode 564; Average Reward: 273.51
Episode 565; Average Reward: 273.10
Episode 566; Average Reward: 273.00
Episode 567; Average Reward: 275.70
Episode 568; Average Reward: 276.48
Episode 569; Average Reward: 276.27
Episode 570; Average Reward: 277.36
Episode 571; Average Reward: 276.28
Episode 572; Average Reward: 275.58
Episode 573; Average Reward: 275.88
Episode 574; Average Reward: 275.22
Episode 575; Average Reward: 278.58
Episode 576; Average Reward: 279.55
Episode 577; Average Reward: 276.75
Episode 578; Average Reward: 272.80
Episode 579; Average Reward: 274.13
Episode 580; Average Reward: 275.11
Episode 581; Average Reward: 277.38
Episode 582; Average Reward: 278.55
Episode 583; Average Reward: 275.29
Episode 584; Average Reward: 277.20
Episode 585; Average Reward: 276.43
Episode 586; Average Reward: 277.27
Episode 587; Average Reward: 275.60
Episode 588; Average Reward: 275.02
Episode 589; Average Reward: 275.50
Episode 590; Average Reward: 278.13
Episode 591; Average Reward: 276.74
Episode 592; Average Reward: 277.42
Episode 593; Average Reward: 278.89
Episode 594; Average Reward: 279.08
Episode 595; Average Reward: 275.12
Episode 596; Average Reward: 276.70
Episode 597; Average Reward: 278.46
