Using device: cuda
Episode 101, Total Reward: 25.429999999999996, Epsilon: 0.050
Episode 102, Total Reward: 98.85999999999954, Epsilon: 0.050
Episode 103, Total Reward: 86.20000000000016, Epsilon: 0.050
Episode 104, Total Reward: 107.60000000000008, Epsilon: 0.050
Episode 105, Total Reward: 87.39000000000011, Epsilon: 0.050
Episode 106, Total Reward: 31.150000000000006, Epsilon: 0.050
Episode 107, Total Reward: 176.60999999999925, Epsilon: 0.050
Episode 108, Total Reward: 111.15999999999862, Epsilon: 0.050
Episode 109, Total Reward: 99.62999999999965, Epsilon: 0.050
Episode 110, Total Reward: 179.3700000000001, Epsilon: 0.050
Episode 111, Total Reward: 86.57000000000015, Epsilon: 0.050
Episode 112, Total Reward: 32.04999999999999, Epsilon: 0.050
Episode 113, Total Reward: 33.36000000000001, Epsilon: 0.050
Episode 114, Total Reward: 32.06999999999999, Epsilon: 0.050
Episode 115, Total Reward: 176.3299999999996, Epsilon: 0.050
Episode 116, Total Reward: 127.85999999999486, Epsilon: 0.050
Episode 117, Total Reward: 105.13000000000005, Epsilon: 0.050
Episode 118, Total Reward: 128.99999999999787, Epsilon: 0.050
Episode 119, Total Reward: 32.08999999999998, Epsilon: 0.050
Episode 120, Total Reward: 160.52000000000035, Epsilon: 0.050
Episode 121, Total Reward: 33.69, Epsilon: 0.050
Episode 122, Total Reward: 108.72000000000007, Epsilon: 0.050
Episode 123, Total Reward: 137.19999999999587, Epsilon: 0.050
Episode 124, Total Reward: 87.71999999999997, Epsilon: 0.050
Episode 125, Total Reward: 30.369999999999983, Epsilon: 0.050
Episode 126, Total Reward: 138.589999999999, Epsilon: 0.050
Episode 127, Total Reward: 34.19000000000001, Epsilon: 0.050
Episode 128, Total Reward: 89.08999999999952, Epsilon: 0.050
Episode 129, Total Reward: 111.40000000000016, Epsilon: 0.050
Episode 130, Total Reward: 110.92999999999985, Epsilon: 0.050
Episode 131, Total Reward: 34.03000000000001, Epsilon: 0.050
Episode 132, Total Reward: 90.11000000000014, Epsilon: 0.050
Episode 133, Total Reward: 90.24000000000024, Epsilon: 0.050
Episode 134, Total Reward: 96.53999999999824, Epsilon: 0.050
Episode 135, Total Reward: 88.40999999999973, Epsilon: 0.050
Episode 136, Total Reward: 88.46999999999974, Epsilon: 0.050
Episode 137, Total Reward: 90.7499999999997, Epsilon: 0.050
Episode 138, Total Reward: 32.50999999999999, Epsilon: 0.050
Episode 139, Total Reward: 83.23000000000023, Epsilon: 0.050
Episode 140, Total Reward: 140.88999999999976, Epsilon: 0.050
Episode 141, Total Reward: 158.72000000000057, Epsilon: 0.050
Episode 142, Total Reward: 84.30000000000028, Epsilon: 0.050
Episode 143, Total Reward: 80.85999999999994, Epsilon: 0.050
Episode 144, Total Reward: 113.4200000000001, Epsilon: 0.050
Episode 145, Total Reward: 89.11999999999982, Epsilon: 0.050
Episode 146, Total Reward: 187.52, Epsilon: 0.050
Episode 147, Total Reward: 33.910000000000004, Epsilon: 0.050
Episode 148, Total Reward: 147.4899999999943, Epsilon: 0.050
Episode 149, Total Reward: 81.96999999999996, Epsilon: 0.050
Episode 150, Total Reward: 134.87999999999886, Epsilon: 0.050
Episode 151, Total Reward: 173.93999999999292, Epsilon: 0.050
Episode 152, Total Reward: 30.929999999999996, Epsilon: 0.050
Episode 153, Total Reward: 30.829999999999984, Epsilon: 0.050
Episode 154, Total Reward: 84.33000000000004, Epsilon: 0.050
Episode 155, Total Reward: 34.180000000000014, Epsilon: 0.050
Episode 156, Total Reward: 34.10000000000001, Epsilon: 0.050
Episode 157, Total Reward: 142.2100000000002, Epsilon: 0.050
Episode 158, Total Reward: 105.88000000000018, Epsilon: 0.050
Episode 159, Total Reward: 33.750000000000014, Epsilon: 0.050
Episode 160, Total Reward: 83.66999999999979, Epsilon: 0.050
Episode 161, Total Reward: 105.84999999999818, Epsilon: 0.050
Episode 162, Total Reward: 138.14000000000001, Epsilon: 0.050
Episode 163, Total Reward: 87.68000000000013, Epsilon: 0.050
Episode 164, Total Reward: 82.20000000000023, Epsilon: 0.050
Episode 165, Total Reward: 155.05000000000015, Epsilon: 0.050
Episode 166, Total Reward: 80.26000000000052, Epsilon: 0.050
Episode 167, Total Reward: 34.550000000000004, Epsilon: 0.050
Episode 168, Total Reward: 77.67999999999996, Epsilon: 0.050
Episode 169, Total Reward: 31.60999999999999, Epsilon: 0.050
Episode 170, Total Reward: 33.39999999999999, Epsilon: 0.050
Episode 171, Total Reward: 12.019999999999987, Epsilon: 0.050
Episode 172, Total Reward: 73.14999999998936, Epsilon: 0.050
Episode 173, Total Reward: 164.23999999999901, Epsilon: 0.050
Episode 174, Total Reward: 34.37000000000001, Epsilon: 0.050
Episode 175, Total Reward: 86.75000000000016, Epsilon: 0.050
Episode 176, Total Reward: 107.15999999999961, Epsilon: 0.050
Episode 177, Total Reward: 152.42999999999853, Epsilon: 0.050
Episode 178, Total Reward: 110.15999999999954, Epsilon: 0.050
Episode 179, Total Reward: 81.98000000000019, Epsilon: 0.050
Episode 180, Total Reward: 134.69999999999706, Epsilon: 0.050
Episode 181, Total Reward: 34.15000000000001, Epsilon: 0.050
Episode 182, Total Reward: 32.24, Epsilon: 0.050
Episode 183, Total Reward: 94.38999999999957, Epsilon: 0.050
Episode 184, Total Reward: 135.97999999999934, Epsilon: 0.050
Episode 185, Total Reward: 110.52999999999994, Epsilon: 0.050
Episode 186, Total Reward: 32.379999999999995, Epsilon: 0.050
Episode 187, Total Reward: 88.32999999999755, Epsilon: 0.050
Episode 188, Total Reward: 103.87999999999987, Epsilon: 0.050
Episode 189, Total Reward: 89.38000000000022, Epsilon: 0.050
Episode 190, Total Reward: 88.31000000000014, Epsilon: 0.050
Episode 191, Total Reward: 159.29999999999998, Epsilon: 0.050
Episode 192, Total Reward: 33.51000000000001, Epsilon: 0.050
Episode 193, Total Reward: 111.58999999999969, Epsilon: 0.050
Episode 194, Total Reward: 85.24999999998911, Epsilon: 0.050
Episode 195, Total Reward: 34.35000000000001, Epsilon: 0.050
Episode 196, Total Reward: 146.23999999999995, Epsilon: 0.050
Episode 197, Total Reward: 177.46999999999989, Epsilon: 0.050
Episode 198, Total Reward: 142.4999999999984, Epsilon: 0.050
Episode 199, Total Reward: 154.829999999999, Epsilon: 0.050
Episode 200, Total Reward: 101.89999999999928, Epsilon: 0.050
Episode 201, Total Reward: 83.79000000000016, Epsilon: 0.050
Episode 202, Total Reward: 100.4699999999998, Epsilon: 0.050
Episode 203, Total Reward: 100.14000000000146, Epsilon: 0.050
Episode 204, Total Reward: 103.27000000000007, Epsilon: 0.050
Episode 205, Total Reward: 85.65000000000023, Epsilon: 0.050
Episode 206, Total Reward: 147.16999999999902, Epsilon: 0.050
Episode 207, Total Reward: 95.6399999999996, Epsilon: 0.050
Episode 208, Total Reward: 88.01999999999992, Epsilon: 0.050
Episode 209, Total Reward: 30.139999999999986, Epsilon: 0.050
Episode 210, Total Reward: 83.8999999999995, Epsilon: 0.050
Episode 211, Total Reward: 33.14999999999998, Epsilon: 0.050
Episode 212, Total Reward: 111.73000000000019, Epsilon: 0.050
Episode 213, Total Reward: 25.999999999999982, Epsilon: 0.050
Episode 214, Total Reward: 31.719999999999978, Epsilon: 0.050
Episode 215, Total Reward: 88.40000000000015, Epsilon: 0.050
Episode 216, Total Reward: 175.70000000000044, Epsilon: 0.050
Episode 217, Total Reward: 85.58000000000011, Epsilon: 0.050
Episode 218, Total Reward: 80.11999999999995, Epsilon: 0.050
Episode 219, Total Reward: 28.949999999999992, Epsilon: 0.050
Episode 220, Total Reward: 33.86000000000001, Epsilon: 0.050
Episode 221, Total Reward: 32.220000000000006, Epsilon: 0.050
Episode 222, Total Reward: 28.639999999999965, Epsilon: 0.050
Episode 223, Total Reward: 87.26000000000013, Epsilon: 0.050
Episode 224, Total Reward: 77.33000000000021, Epsilon: 0.050
Episode 225, Total Reward: 29.909999999999986, Epsilon: 0.050
Episode 226, Total Reward: 154.6600000000004, Epsilon: 0.050
Episode 227, Total Reward: 109.51999999999958, Epsilon: 0.050
Episode 228, Total Reward: 106.45999999999994, Epsilon: 0.050
Episode 229, Total Reward: 141.19999999999925, Epsilon: 0.050
Episode 230, Total Reward: 95.52999999999815, Epsilon: 0.050
Episode 231, Total Reward: 31.02999999999999, Epsilon: 0.050
Episode 232, Total Reward: 83.96000000000014, Epsilon: 0.050
Episode 233, Total Reward: 85.30000000000014, Epsilon: 0.050
Episode 234, Total Reward: 140.8599999999992, Epsilon: 0.050
Episode 235, Total Reward: 140.09, Epsilon: 0.050
Episode 236, Total Reward: 101.01999999999933, Epsilon: 0.050
Episode 237, Total Reward: 30.919999999999987, Epsilon: 0.050
Episode 238, Total Reward: 110.10999999999986, Epsilon: 0.050
Episode 239, Total Reward: 81.98000000000025, Epsilon: 0.050
Episode 240, Total Reward: 170.1099999999993, Epsilon: 0.050
Episode 241, Total Reward: 30.449999999999985, Epsilon: 0.050
Episode 242, Total Reward: 31.8, Epsilon: 0.050
Episode 243, Total Reward: 158.34999999999957, Epsilon: 0.050
Episode 244, Total Reward: 111.55000000000001, Epsilon: 0.050
Episode 245, Total Reward: 87.33999999999982, Epsilon: 0.050
Episode 246, Total Reward: 31.44999999999999, Epsilon: 0.050
Episode 247, Total Reward: 179.47000000000043, Epsilon: 0.050
Episode 248, Total Reward: 32.010000000000005, Epsilon: 0.050
Episode 249, Total Reward: 80.52999999999992, Epsilon: 0.050
Episode 250, Total Reward: 109.84999999999955, Epsilon: 0.050
Episode 251, Total Reward: 162.05000000000018, Epsilon: 0.050
Episode 252, Total Reward: 155.5799999999994, Epsilon: 0.050
Episode 253, Total Reward: 104.95000000000014, Epsilon: 0.050
Episode 254, Total Reward: 31.52999999999998, Epsilon: 0.050
Episode 255, Total Reward: 140.329999999999, Epsilon: 0.050
Episode 256, Total Reward: 82.4699999999998, Epsilon: 0.050
Episode 257, Total Reward: 66.49000000000083, Epsilon: 0.050
Episode 258, Total Reward: 95.54999999999954, Epsilon: 0.050
Episode 259, Total Reward: 33.970000000000006, Epsilon: 0.050
Episode 260, Total Reward: 186.81999999999957, Epsilon: 0.050
Episode 261, Total Reward: 87.18000000000009, Epsilon: 0.050
Episode 262, Total Reward: 169.32999999999547, Epsilon: 0.050
Episode 263, Total Reward: 86.60999999999699, Epsilon: 0.050
Episode 264, Total Reward: 29.15, Epsilon: 0.050
Episode 265, Total Reward: 78.89999999999205, Epsilon: 0.050
Episode 266, Total Reward: 93.54999999999869, Epsilon: 0.050
Episode 267, Total Reward: 79.2600000000002, Epsilon: 0.050
Episode 268, Total Reward: 31.68999999999999, Epsilon: 0.050
Episode 269, Total Reward: 30.359999999999978, Epsilon: 0.050
Episode 270, Total Reward: 87.38000000000018, Epsilon: 0.050
Episode 271, Total Reward: 18.01999999999998, Epsilon: 0.050
Episode 272, Total Reward: 83.77000000000005, Epsilon: 0.050
Episode 273, Total Reward: 105.49999999999993, Epsilon: 0.050
Episode 274, Total Reward: 82.79000000000009, Epsilon: 0.050
Episode 275, Total Reward: 33.70999999999998, Epsilon: 0.050
Episode 276, Total Reward: 180.17999999999995, Epsilon: 0.050
Episode 277, Total Reward: 104.93999999999959, Epsilon: 0.050
Episode 278, Total Reward: 22.01999999999998, Epsilon: 0.050
Episode 279, Total Reward: 139.81000000000012, Epsilon: 0.050
Episode 280, Total Reward: 29.10999999999998, Epsilon: 0.050
Episode 281, Total Reward: 78.98000000000002, Epsilon: 0.050
Episode 282, Total Reward: 98.37000000000005, Epsilon: 0.050
Episode 283, Total Reward: 106.82000000000029, Epsilon: 0.050
Episode 284, Total Reward: 79.32000000000006, Epsilon: 0.050
Episode 285, Total Reward: 32.15999999999999, Epsilon: 0.050
Episode 286, Total Reward: 104.12999999999955, Epsilon: 0.050
Episode 287, Total Reward: 85.35000000000012, Epsilon: 0.050
Episode 288, Total Reward: 31.95, Epsilon: 0.050
Episode 289, Total Reward: 120.10999999999358, Epsilon: 0.050
Episode 290, Total Reward: 32.42000000000001, Epsilon: 0.050
Episode 291, Total Reward: 87.65000000000019, Epsilon: 0.050
Episode 292, Total Reward: 120.71999999999093, Epsilon: 0.050
Episode 293, Total Reward: 97.90999999999757, Epsilon: 0.050
Episode 294, Total Reward: 86.70000000000012, Epsilon: 0.050
Episode 295, Total Reward: 125.44999999999867, Epsilon: 0.050
Episode 296, Total Reward: 139.8200000000014, Epsilon: 0.050
Episode 297, Total Reward: 136.42999999999967, Epsilon: 0.050
Episode 298, Total Reward: 29.65999999999998, Epsilon: 0.050
Episode 299, Total Reward: 29.84999999999998, Epsilon: 0.050
Episode 300, Total Reward: 84.95000000000005, Epsilon: 0.050
Episode 301, Total Reward: 89.04000000000002, Epsilon: 0.050
Episode 302, Total Reward: 99.36999999999918, Epsilon: 0.050
Episode 303, Total Reward: 141.689999999999, Epsilon: 0.050
Episode 304, Total Reward: 86.37000000000027, Epsilon: 0.050
Episode 305, Total Reward: 23.689999999999987, Epsilon: 0.050
Episode 306, Total Reward: 76.50000000000014, Epsilon: 0.050
Episode 307, Total Reward: 105.0900000000001, Epsilon: 0.050
Episode 308, Total Reward: 32.3, Epsilon: 0.050
Episode 309, Total Reward: 82.19000000000021, Epsilon: 0.050
Episode 310, Total Reward: 32.06999999999998, Epsilon: 0.050
Episode 311, Total Reward: 182.5099999999999, Epsilon: 0.050
Episode 312, Total Reward: 79.75999999999812, Epsilon: 0.050
Episode 313, Total Reward: 97.81000000000171, Epsilon: 0.050
Episode 314, Total Reward: 146.74000000000095, Epsilon: 0.050
